22203756,23022687
22203756,342887079
65691824,133064711
22203756,25073877
15745368,212364380
15745368,406974565
22203756,246871490
22203756,22203756
22203756,342887079
65691824,46128260
65691824,2511443287
65691824,419177050
15745368,16494410
15745368,3001665106
65691824,20402945
15745368,288837626
15745368,15572679
25073877,1260464402
25073877,52544275
65691824,76133717
65691824,3135241
25073877,64527114
25073877,211298626
25073877,214174323
25073877,25559432
65691824,52989817
23022687,389554914
65691824,23108240
65691824,419177050
65691824,117534603
18020081,52861612
23022687,280664117
23022687,23022687
23022687,183592090
23022687,21269970
23022687,23022687
65691824,22990837
23022687,280664117
23022687,23022687
23022687,22203756
23022687,38495835
65691824,6393032
65691824,2511443287
23022687,252398355
23022687,1632772304
23022687,389554914
23022687,23022687
15416505,23970102
15416505,5509762
65691824,14587949
65691824,2511443287
216881337,1234531646
216881337,952276099
65691824,1533729637
65691824,30313925
65691824,2511443287
65691824,115979444
65691824,15745368
216881337,4844976482
216881337,216881337
216881337,17153947
65691824,52789108
23022687,42447922
23022687,74198348
23022687,45840174
23022687,21986885
23022687,1074480192
65691824,14587949
65691824,2511443287
113047940,2964949642
113047940,102455692
65691824,419177050
22203756,25073877
65691824,6393032
65691824,2511443287
15985455,1923451808
15985455,1923451808
15985455,226222147
22203756,25073877
65691824,62879961
65691824,2511443287
216881337,24696405
216881337,3141213592
216881337,216881337
216881337,339822881
216881337,244123121
25073877,15513604
65691824,14998675
65691824,2511443287
216881337,152311372
216881337,2565668196
216881337,216881337
216881337,150078976
65691824,419177050
65691824,15901113
90484508,2242623781
65691824,15075999
216881337,25528924
65691824,419177050
25073877,729676086632656900
65691824,419177050
25073877,729676086632656900
25073877,1339835893
65691824,24717436
65691824,23081536
90484508,18136692
65691824,146530128
65691824,2511443287
65691824,46128260
15985455,35816920
15985455,180478528
15745368,212364380
22203756,28587919
65691824,742735133820649475
23022687,2361224263
23022687,1536791610
22203756,15513604
22203756,22203756
65691824,22990837
65691824,19394188
25073877,1339835893
65691824,3546471376
65691824,253728554
65691824,15931637
23022687,6742412
23022687,23022687
23022687,1160445668
65691824,253728554
65691824,2511443287
25073877,21605446
65691824,15931637
18020081,1536791610
65691824,19394188
65691824,2511443287
22203756,25073877
23022687,17681489
23022687,23022687
23022687,54885400
65691824,40532762
65691824,18995885
65691824,419177050
216881337,48149533
216881337,3351268750
216881337,216881337
65691824,419177050
216881337,921312548
216881337,216881337
23022687,20714308
22203756,246871490
22203756,186646579
22203756,22203756
22203756,15513604
22203756,16420152
65691824,419177050
1180379185,1339835893
15985455,21435658
65691824,17919912
65691824,2511443287
113047940,2532907147
65691824,419177050
22203756,33750798
65691824,14415941
65691824,363571014
65691824,2511443287
65691824,166495719
65691824,2511443287
3021632183,100530267
18020081,358547190
15985455,1923451808
15985455,44609264
15985455,44609264
65691824,19394188
65691824,14415941
65691824,2511443287
23022687,10168082
65691824,2511443287
65691824,17291452
23022687,14662354
23022687,18956073
65691824,56749735
22203756,246871490
22203756,22203756
3021632183,449850814
3021632183,3021632183
3021632183,25073877
23022687,21612122
15985455,1923451808
15985455,44609264
15985455,882999872
15985455,16830781
15985455,224785930
15985455,4919082864
15985455,2897803338
65691824,47688440
65691824,2511443287
15985455,1045853744
15985455,4415696657
15985455,20267772
65691824,36511031
25073877,807095
15985455,35816920
65691824,78403308
22203756,25073877
65691824,26960435
65691824,26960435
65691824,14412533
18020081,95943434
65691824,394087524
65691824,2511443287
65691824,44641669
65691824,2511443287
65691824,419177050
58379000,429520583
58379000,58379000
58379000,162126945
58379000,583875731
3021632183,2801842695
3021632183,2801842695
3021632183,250556430
3021632183,18127064
3021632183,47412499
3021632183,3021632183
3021632183,240014188
3021632183,2950294354
65691824,14637199
3021632183,43996908
58379000,20926802
58379000,58379000
58379000,16980310
65691824,60622849
65691824,2511443287
65691824,419177050
3021632183,25073877
3021632183,22203756
58379000,84620376
18020081,25073877
65691824,40532762
65691824,2511443287
58379000,1367531
58379000,25073877
23022687,455764741
23022687,45876240
65691824,15966258
58379000,14730894
58379000,58379000
65691824,419177050
1180379185,1020058453
58379000,763977163
58379000,3108351
15416505,335116707
15416505,25073877
58379000,16031927
58379000,1367531
216881337,975200486
216881337,233842454
65691824,15901113
65691824,2511443287
58379000,16148677
58379000,58379000
23022687,2316003960
23022687,23022687
58379000,16031927
58379000,1367531
58379000,3761605342
58379000,29898014
58379000,58379000
58379000,25073877
65691824,90405702
58379000,52191442
58379000,15745368
58379000,58379000
