Source, Target
67514751,3145706092
2382445597,14818045
2382445597,85028508
442911245,77764733
15088465,1339835893
1421798791,759251
454274396,25073877
48038024,296416564
293048490,603025587
53411158,82939583
19776539,1964991720
67827902,35094637
33826583,14377605
416094037,14377605
416094037,115979444
534240647,14895754
534240647,499073990
16171950,18082466
16171950,15742294
16171950,24329293
3306659422,1339835893
3306659422,104198706
3306659422,61636488
128936202,50325797
2582736318,2865078826
68472133,25073877
1511454595,25073877
416094037,14377605
416094037,115979444
46111679,2267598355
46111679,727472528
1873929764,14377605
41949140,1367531
41949140,15513604
8370082,1339835893
8370082,33537967
437874669,1339835893
41949140,208155240
41949140,26487169
491395666,1339835893
192372797,25073877
192372797,1367531
452339383,1330457336
150469846,3220025137
24925615,312134473
24925615,25073877
24925615,77764733
24925615,1339835893
184780576,3178378377
23341160,23879728
23341160,24255640
2287879975,14529929
2287879975,934620134
29500823,1536791610
16123104,103847376
16123104,14441042
16123104,1339835893
16123104,31239408
48116270,1339835893
12197742,25073877
3245559724,237403203
19681206,759251
65635157,15808765
861388620,759251
43407217,1330457336
43407217,1339835893
258574038,1339835893
258574038,1536791610
258574038,1917731
258574038,2303751216
258574038,9300262
258574038,3108351
755590267,444303790
150469846,2471691343
2989722073,25073877
835786237,429227921
835786237,14957147
1093290402,216776631
209949761,14135426
71505288,1367531
3141243051,2683755791
3141243051,3384635751
19545932,15442036
790546093,90480218
21158034,1330457336
718957124,2836421
718957124,15764644
94402498,1330457336
94402498,757303975
94402498,1339835893
751367834249334784,15224867
37987541,25791907
212056045,15808765
88839124,16228398
42696609,1330457336
188199170,216776631
790546093,38539421
790546093,51002583
2200631900,15808765
1955090220,15808765
214923438,813286
2243881949,1339835893
2243881949,702147673651027968
17600254,111216929
2856307798,33537967
17716548,15808765
1873929764,14377605
2762583461,1339835893
389534896,939091
2992190296,1339835893
21438134,2863488598
21438134,163724029
270973788,16006592
270973788,315779591
25714160,216776631
1488187284,728211479988600832
1708437751,2488541
144288146,10246422
1421798791,16589206
1507255514,72423061
532977876,902200087
23915136,111216929
